"AED Name","AED Address","Detailed location of the AED installed","Location Google Map coordinate: latitude","Location Google Map coordinate: longitude","Whether the AED can be used by anyone","Person allowed to operate the AED","Person who has access to the AED","Ground level categories","Service Hour Remark","AED brand","AED model","AED remark"
"No. 8 Deep Water Bay Drive (Nan Fung Property Management)","No. 8 Deep Water Bay Drive, Deep Water Bay, Hong Kong.","G/F, Control Room",22.2527702,114.1829961,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"HeartSine Samaritan PAD","SAM 360P",
"No.8 Wyndham Street (Nan Fung Property Management)","No.8 Wyndham Street, Central, Hong Kong.","G/F, Customer Service Centre",22.2809883,114.1566154,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,HeartSine,CR+,
"Nan Fung Place (Nan Fung Property Management)","173 Des Voeux Rd.C., Central, Hong Kong.","G/F, Concierge",22.285953143969895,114.1542561392174,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,Philips,M5066A-ABI,
"Queen’s Cube (Nan Fung Property Management)","235-245 Queen&amp;#39;s Road East, Hong Kong","G/F, Concierge",22.274279,114.173775,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"HeartSine Samaritan PAD","SAM 360P",
"Providence Peak (Nan Fung Property Management)","8 Fo Chun Rd, Providence Bay, Tai Po, N.T.","G/F, Clubhouse Reception Counter",22.4321299,114.2024894,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,Philips,EF-AEDP-M5066A,
"The Grandville (Nan Fung Property Management)","2 Lok Kwai Path, Sha Tin, N.T.","G/F, Clubhouse Reception Counter",22.401011,114.195196,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"HeartSine Samaritan PAD","SAM 360P",
"ORI (Nan Fung Property Management)","3 Leung Tak St, Tuen Mun, N.T.","3/F, Control Room",22.4090195,113.9681758,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"HeartSine Samaritan PAD","SAM 500P",
"Edition 178 (Nan Fung Property Management)","No. 178 Hing Fong Road, Kwai Fong, N.T.","5/F, Gym Room",22.3599222,114.1282474,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"Mediana HeartOn",A15,
"Fortuna Court (Nan Fung Property Management)","25 Repulse Bay Road, Hong Kong","G/F, Control Room",22.2505491,114.1919828,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"HeartSine Samaritan PAD","SAM 360P",
"Nan Fung Centre (Nan Fung Property Management)","264-298 Castle Peak Road., Tsuen Wan.","1/F, Concierge",22.3738014,114.1163447,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"HeartSine Samaritan PAD","SAM 360P",
"Bay Villas (Nan Fung Property Management)","No. 57-71 Shouson Hill Road, Deep Water Bay, Hong Kong","G/F., Control Room",22.2455307,114.179896,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"HeartSine Samaritan PAD","SAM 360P",
"Florient Rise (Nan Fung Property Management)","38 Cherry St, Tai Kok Tsui, Kowloon.","6/F, Shuttle Lobby Entrance",22.3182195,114.1613118,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,Philips,"Heartstart FRx",
"MOS Centre (Nan Fung Property Management)","No.1 On Chun Street, Ma On Shan, Shantin, N.T","G/F, Control Room",22.4258737,114.2331456,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"HeartSine Samaritan PAD","SAM 360P",
"Asia Trade Centre (Nan Fung Property Management)","79 Lei Muk Road, Kwai Chung, N.T.","G/F, Main Lobby Reception",22.3702308,114.1367824,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"HeartSine Samaritan PAD","SAM 360P",
"La Place de Victoria (Nan Fung Property Management)","No. 632 King’s Road, North Point.","6/F, Clubbhouse office",22.291726,114.205573,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"HeartSine Samaritan PAD","SAM 360P",
"Tseung Kwan O Plaza (Nan Fung Property Management)","1 Tong Tak St, Tseung Kwan O","L1, Customer Service Centre",22.3090651,114.2624233,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Tseung Kwan O Plaza (Nan Fung Property Management)","1 Tong Tak St, Tseung Kwan O","Reception Counter, Clubhouse Phase I",22.3090651,114.2624233,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"HeartSine Samaritan PAD","SAM 360P",
"Aqua Blue (Nan Fung Property Management)","28 Tsing Fat Street, Siu Lam, Tuen Mun, N.T","G/F, Clubhouse Reception Counter",22.3635636,113.998586,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"HeartSine Samaritan PAD","SAM 360P",
"Summit Terrace (Nan Fung Property Management)","1 &amp; 2 On Yuk Road, Tsuen Wan, N.T.","P5, Clubhouse Reception",22.3761783,114.1061022,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"HeartSine Samaritan PAD","SAM 360P",
"The Parkville","88 Heung Sze Wui Road, Tuen Mun, New Territories.","G/F Lobby counter",22.3972215,113.9750131,Yes,Anyone,Anyone,"Street level",,"Cardiac Science",G5,
"The Park Hillcrest","108 Tong Yan San Tsuen Road, Yuen Long. New Territories.","G/F, 24 hrs Security Room",22.4332207,114.0079234,Yes,Anyone,Anyone,"Street level",,"Cardiac Science",G5,
"The Park Villa","116 Tong Yan San Tsuen Road, Yuen Long. New Territories.","G/F, 24 hrs Security Room",22.4330628,114.007393,Yes,Anyone,Anyone,"Street level",,"Cardiac Science",G5,
"The Park Hill","138 Tong Yan Sun Tsuen Road, Yuen Long, New Territories.","G/F, 24 hrs Security Room",22.432809,114.0100088,Yes,Anyone,Anyone,"Street level",,"Cardiac Science",G5,
"Park Signature","68 Kung Um Road, Yuen Long, New Territories.","G/F, 24 hrs Security Room",22.4363004,114.0247778,Yes,Anyone,Anyone,"Street level",,"Cardiac Science",G5,
"Mount Pavilia","No. 663 Clear Water Bay Road, Sai Kung, New Territories.","Ground Level, Control Room",22.3357961,114.2603651,Yes,"Staff only","Staff only","Street level",,"Cardiac Science",G5A-37PO,
"Mount Pavilia","No. 663 Clear Water Bay Road, Sai Kung, New Territories.","L/G White Yard Club",22.3357961,114.2603651,Yes,"Staff only","Staff only","Street level",,"Cardiac Science",G5A-37PO,
Skypark,"17 Nelson Street, Mong Kok, Kowloon.","3/F Control Room",22.318965,114.1715133,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Artisan Hub","9 Luk Hop Street, San Po Kong, Kowloon.","G/F lift lobby",22.3376498,114.1992468,Yes,Anyone,Anyone,"Street level",,Defibtech,AED-DCF-E130-CH,
"THE FOREST","17 Nelson Street, Mongkok, Kowloon.","1/F Concierge Counter",22.3189016,114.1714151,Yes,Anyone,Anyone,"Non-street level",,Defibtech,AED-DCF-E130-CH,
"ARTISAN HOUSE","No.1 Sai Yuen Lane, Sai Ying Pun, Hong Kong.","G/F counter",22.2874224,114.1418611,Yes,Anyone,Anyone,"Street level",,"Cardiac Science",G5,
"Bohemian House","321 Des Voeux Road West, Sai Ying Pun, Hong Kong.","G/F concierge counter",22.2876504,114.1390321,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak CR Plus",
"Eight South Lane","8 -12 South Lane, Sai Ying Pun, Hong Kong.","G/F Lobby",22.2855638,114.1344976,Yes,"Staff only","Staff only","Street level",,Philips,FR2+,
"The Signature","No.8, Chun Fai Terrace, Tai Hang, Hong Kong.","G/F Lobby receiption",22.275253,114.19454,Yes,"Staff only","Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Fleur Pavilia","No.1 Kai Yuen Street, North Point, Hong Kong.","3/F Club House Reception",22.290069,114.2036932,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Fleur Pavilia","No.1 Kai Yuen Street, North Point, Hong Kong.","2/F Security Control Room",22.290069,114.2036932,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"The Pavilia Hill","The Pavilia Hill, No.18A, Tin Hau Temple Road, North Point, Hong Kong.","Control Room , G/F",22.28241,114.193108,Yes,"Staff only","Staff only","Street level",,"Physio Control","Lifepak CR Plus",
"Wanchai-Immigration Tower","Immigration Tower, 7 Gloucester Road, Wanchai, Hong Kong.","G/F Management Office",22.2798307,114.1729018,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak CR Plus",
"Wanchai-Revenue Tower","Revenue Tower, 5 Gloucester Road, Wanchai, Hong Kong.","G/F Management Office",22.2797448,114.1718622,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak CR Plus",
"Taikoo Shing-12 Tai Koo Wan Road","12 Tai Koo Wan Road, Taikoo Shing, Hong Kong.","2/F Concierge",22.2876417,114.21799733068849,Yes,Anyone,Anyone,"Non-street level",,Radianqbio,CR+,
"Wanchai-Emperor Group Centre","Emperor Group Centre, 288 Hennessy Road, Wanchai, Hong Kong","G/F Reception",22.2776274,114.176885,Yes,"Trained Personnel Only","Staff only","Street level",,"Cardiac Science",G5A-37P0,
"TST East-New Mandarin Plaza","New Mandarin Plaza, 14 Science Museum Road, Tsim Sha Tsui East, Kowloon.","G/F Management Office",22.300796043864853,114.17884368294067,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"Cardiac Science",G5A,
"Shek Mun-Kings Wing Plaza 1","Kings Wing Plaza 1, 3 On Kwan Street, Shek Mun, New Territories.","Kings Wing Plaza 1, 2/F Management Office",22.388425892981502,114.2081946532982,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science",G3,
"Tsuen Wan-Plaza 88","Plaza 88, 88 Yeung Uk Road,Tsuen Wan, New Territories.","G/F information centre",22.36773748603882,114.11528313291274,Yes,"Trained Personnel Only","Staff only","Street level",,"Cardiac Science",G3,
"Hong Kong St. John Ambulance","7/F, St. John Tower, 2 Macdonnell Road, Hong Kong","7/F, Inside the Hall",22.276081,114.15562,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science","Powerheart G3",
"Kwun Tong-COS Centre","COS Centre, 56 Tsun Yip Street, Kwun Tong, Kowloon.","1/F Information Centre",22.3110304,114.2227883,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,"Cardiac Science",G3,
"Aberdeen-Hong Kong Acadmeny of Medicine","Hong Kong Acadmeny of Medicine, 99 Wong Chuk Hang Road, Aberdeen, Hong Kong.","G/F Security Control Office",22.2507901,114.1717413,Yes,"Trained Personnel Only","Staff only","Street level",,Defibtech,AED-DCF-E110-CH,
"Ho Kin District Community Centre for Senior Citizens","G/F, Wing Kit House, Wing Cheong Estate, No.20, Sai Chuen Road Road, Sham Shui Po, Kowloon.",Reception,22.3294315,114.155222,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Ho Chui District Community Centre for Senior Citizens","G/F, Wing C, Lok Moon House, Tsz Lok Estate, Tsz Wan Shan, Kowloon",Reception,22.347242,114.20073,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Ho Hing District Community Centre for Senior Citizens","G/F, Man Yue House, Tsz Man Estate, Tsz Wan Shan, Kowloon.",Reception,22.3481444,114.2039639,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Ho Ning Health Care Service Center","G/F, No. 2, Lower Block, Shek Chun House, Shek Lei Village, Kwai Chung , New Territories",Reception,22.3627839,114.1376881,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Ho Hong Neighbourhood Centre for Senior Citizens","Unit 22-29, G/F, Tai Yan House, Tai Yuen Estate, Tai Po, New Territories",Reception,22.4554361,114.1708045,Yes,Anyone,Anyone,"Street level",,Heartsine,"SAM 500P",
"Ho Ping Neighbourhood Centre for Senior Citizens","Unit 2, G/F, Wang Yiu House, Wang Tau Hom Estate, Wong Tai Sin, Kowloon",Reception,22.3419036,114.1861542,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Ho Tai Neighbourhood Centre for Senior Citizens","G/F, Wing B, Kwong Min House, Kwong Yuen Estate, Shatin, New Territories",Reception,22.3806584,114.2139835,Yes,Anyone,Anyone,"Street level",,Heartsine,"SAM 500P",
"Ho Yin Neighbourhood Centre for Senior Citizens","G/F, Wing C, Lok Mun House, Tsz Lok Estate, Tsz Wan Shan, Kowloon",Reception,22.3477885,114.2023823,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Ho Fu Neighbourhood Centre for Senior Citizens","Units L102 LG1, Fu Lai House & LG, No. L13-14, Fu Shun House, Fu Shan Estate, Tsz Wan Shan, Kowloon",Reception,22.3427648,114.2091072,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Ho Chak Neighbourhood Centre for Senior Citizens","Room 1-2 and Room 16-20, G/F, Wing Chak Building, Chak On Estate, Sham Shui Po , Kowloon",Reception,22.3405539,114.163768,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Ho Wong Neighbourhood Centre for Senior Citizens","1/F, King Centre, 23-29 Dundas Street, Mong Kok, Kowloon.",Reception,22.3150688,114.1676462,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Ho Wing Neighbourhood Centre for Senior Citizens","G/F, Wing C, Tat Yee House, Po Tat Estate, Sau Mau Ping, Kowloon.",Reception,22.3180718,114.2366214,Yes,Anyone,Anyone,"Non-street level",,Heartsine,"SAM 500P",
"Sik Sik Yuen Wong Tai Sin Temple","2, Chuk Yuen Village, Wong Tai Sin, Kowloon.","Head Office",22.3427257,114.1932582,Yes,"Trained Personnel Only",Anyone,"Non-street level",,"Cardiac Science",G3,
"Sik Sik Yuen Wong Tai Sin Temple","2, Chuk Yuen Village, Wong Tai Sin, Kowloon.","Tai Sui Yuenchen Hall",22.3427257,114.1932582,Yes,"Trained Personnel Only",Anyone,"Non-street level",,"Cardiac Science",G3,
"Sik Sik Yuen Wong Tai Sin Temple","2, Chuk Yuen Village, Wong Tai Sin, Kowloon.","G/F, Fung Ming Hall",22.3427257,114.1932582,Yes,"Trained Personnel Only",Anyone,"Street level",,"Cardiac Science",G3,
"TWGHs Mr &amp; Mrs Au Wai Lam Memorial Day Care Centre for the Elderly","Wing A, G/F, Pok Tai House, Pok Hong Estate, Shatin, N.T.","Nurse Station",22.376773,114.195696,Yes,"Trained Personnel Only","Staff only","Street level",,"Cardiac Science",G3,
"Hong Kong St. John Ambulance","4/F, St. John Tower, 2 Macdonnell Road, Hong Kong","4/F, Inside reception (set No.2)",22.276081,114.15562,Yes,Anyone,Anyone,"Non-street level",,Philips,FRX,
"TWGHs Chan Han Home for the Elderly","G/F &amp; 1/F, Yiu Him House, Yiu On Estate, Ma On Shan, N.T.",G/F,22.4185225,114.2308303,Yes,"Trained Personnel Only","Staff only","Street level",,"Cardiac Science",G3,
"TWGHs Chan Han Home for the Elderly","G/F &amp; 1/F, Yiu Him House, Yiu On Estate, Ma On Shan, N.T.",1/F,22.4185225,114.2308303,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science",G5,
"Lee Tung Avenue Management Company Limited","Lee Tung Avenue, No. 200 Queen&amp;#39;s Road East, Wan Chai, Hong Kong","Customer Service Counter, B1/F, Lee Tung Avenue, No. 200 Queen&amp;#39;s Road East, Wan Chai, Hong Kong",22.275654536515,114.17228619329,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science","G3 Plus (Fully-auto)",
"TWGHs Chau Lin Day Care Centre for the Elderly","Units 114-127, G/F, Shing Wai House, Sun Tin Wai Eatste, Shatin, New Territories",G/F,22.370448,114.187394,Yes,"Staff only","Staff only","Street level",,"Defibtech Lifeline AED",E110S,
"TWGHs Lo Man Huen Home for the Elderly","2/F, Mei Yeung House, Mei Lam Estate, Shatin, N.T.","2/F Nurse Room",22.3785376,114.177237,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science","Powerheart AED G3",
"TWGHs Lo Wong Yuk Man Nursing Home cum Day Care Centre","Carpark Floor (Part) and Carpark Floor High Level, Tai Wai Social Service Building, 1 Mei Tin Road, Tai Wai, Sha Tin, New Territories","Carpark Floor (Part) and Carpark Floor High Level",22.3746882,114.1938637,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Defibtech Lifeline AED",DDU-2300,
"TWGHs Wilson T.S. Wang District Elderly Community Centre","Room 38-39, G/F, Block A, Skylark House, Sha Kok Estate, Shatin, N.T","Corridor near entrance",22.3792934,114.1945139,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,Philips,HS1,
"TWGHs Ma Hing Chou Home for the Elderly","6/F, Fook Hoi Hse, Lek Yuen Estate, Shatin, N.T.","Nurses Station",22.385314,114.1917274,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Defibtech Lifeline AED",DDU-100,
"TWGHs Lee Yen &amp; Lee Yuk Lun, BBS, JP, Father &amp; Son Lohas Villa","Unit 2, L1/F, Ming Chuen House, Shui Chuen O Estate, Shatin, N.T.","Office of Lohas Villa",22.3727472,114.1977853,Yes,Anyone,Anyone,"Non-street level",,"Defibtech Lifeline AED",DCF-E130,
"TWGHs Wu York Yu Care and Attention Home","1/F Nurse Unit, Shuen Wan Complex for the Elderly, No. 93 Sam Mun Tsai Road, Shuen Wan, Tai Po, N.T.","1/F Nurse Unit",22.457765,114.210667,Yes,"Trained Personnel Only","Staff only","Non-street level",,Philips,"Heart Start CR Plus",
"TWGHs Wu York Yu Care and Attention Home","G/F, Wu York Yu Care and Attention Home - Top-Pro Community Support Unit, Shuen Wan Complex for the Elderly, No. 93 Sam Mun Tsai Road, Shuen Wan, Tai Po, N.T.","G/F, Top-Pro Community Support Unit",22.457765,114.210667,Yes,"Trained Personnel Only","Staff only","Street level",,"Life Pak","CR Plus",
"TWGHs Pao Siu Loong Care &amp; Attention Home","G/F Nurse Unit, Shuen Wan Camplex for the Elderly, NO. 93 Sam Mun Tsai Road, Shuen Wan, Tai Po, N.T.","G/F Nurse Unit",22.457765,114.210667,Yes,"Trained Personnel Only","Staff only","Street level",,Philips,"HEARTSTART FR3",
"TWGHs Pao Siu Loong Care &amp; Attention Home","1/F Nurse Unit, Shuen Wan Complex for the Elderly, NO. 93 Sam Mun Tsai Road, Shuen Wan, Tai Po, N.T.","1/F Nurse Unit",22.457765,114.210667,Yes,"Trained Personnel Only","Staff only","Non-street level",,Philips,"HEARTSTART FR3",
"Hong Kong St. John Ambulance","6/F, St. John Tower, 2 Macdonnell Road, Hong Kong","Inside the Hall",22.276081,114.15562,Yes,Anyone,Anyone,"Non-street level",,Physio-Control,"Lifepak CR Plus",
"TWGHs Chu Sau Cheung Nursing Home","Unit 302, 3/F and Unit 401, 4/F, Ancillary Facilities Block, Cheung Sha Wan Estate, 391 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon","Outside 4/F Station",22.3349036,114.1565351,Yes,"Trained Personnel Only","Staff only","Non-street level",,Philips,FR3,
"TWGHs Chu Sau Cheung Nursing Home","Unit 302, 3/F and Unit 401, 4/F, Ancillary Facilities Block,Cheung Sha Wan Estate,391 Cheung Sha Wan Road, 391 Cheung Sha Wan Road, Kowloon","Outside 3/F Station",22.3349036,114.1565351,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Defibtech Lifeline AED",DDU-120E,
"Tung Wah Group of Hospitals - The University of Hong Kong Chinese Medicine Clinic cum Training and Research Centre (Central & Western District)","Rm 6, 1/F, Yeo Wing, Tung Wah Hospital, 12 Po Yan Street, Sheung Wan, HK","Rm 6, 1/F",22.285173,114.146895,Yes,"Staff only","Staff only","Non-street level",,Philips,FR3,
"Tung Wah Group of Hospitals – The University of Hong Kong Chinese Medicine Clinic cum Training and Research Centre (Eastern District) /","Assessment Room, LG4,West Wing, SOPB, PYNEH.","Assessment Room, LG4,West Wing",22.2695993,114.2362653,Yes,"Staff only","Staff only","Non-street level",,Philips,FR3,
"TWGHs Endoscopy Centre","2/F, Kiangsu and Chekiang Building, No.16 North Point Road, Hong Kong HCI Name: TWGHs - Endoscopy Centre","2/F, Kiangsu and Chekiang Building",22.2919596,114.1967527,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,ZOLL,"AED Pro",
"Kwong Wah Hospital Well Women Clinic","4/F, TWGHs Tsui Tsin Tong Outpatient Building, Kwong Wah Hospital, 25 Waterloo Road, Kowloon","4/F, TWGHs Tsui Tsin Tong Outpatient Building",22.3154728,114.1717909,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,Philips,"Heartstart FR2 +",
"TWGHs Medical Centre (North Point)","11/F, China United Centre, 28 Marble Road, North Point, Hong Kong","11/F, China United Centre",22.2916685,114.2004817,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,ZOLL,"AED Pro",
"TWGHs Integrated Diagnostic and Medical Centre","5/F, TWGHs Tsui Tsin Tong Outpatient Building, Kwong Wah Hospital, 25 Waterloo Road, Kowloon","5/F, TWGHs Tsui Tsin Tong Outpatient Building",22.3154728,114.1717909,Yes,"Trained Personnel Only","Accompanied By Staff only","Non-street level",,Philips,FR2+,
"TWGHs Wong Tai Sin Hospital – Hong Kong Baptist University Sophia Wang Chinese Medicine Clinical Research and Services Centre","G/F, Block C, TWGHs Wong Tai Sin Hospital, 124 Shatin Pass Road, Kowloon","G/F, Block C",22.3471976,114.1965428,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,Philips,FR2+,
"Hong Kong Disneyland Resort","Hong Kong Disneyland, Lantau Island, New Territories.","Disney Explorers Lodge, South America 2/F Guest Corridor near Staircase E03",22.333734,114.153421,Yes,Anyone,Anyone,"Non-street level","Hotel Operating days",Philips,"Heartstart FRx",
"Auxiliary Medical Service Headquarters","81 Princess Margaret Road, Homantin.","Lobby, G/F",22.316943637391,114.17910268221,Yes,Anyone,Anyone,"Street level",,"Cardiac Science","Powerheart G3",
"The Hong Kong Jockey Club","Shatin Racecourse, Shatin, N.T.","Olympic Stables Compound Security Check point [1000m]",22.394554338618985,114.20007699672014,Yes,Anyone,"Staff only","Non-street level",,Philips,"Laerdal Heart Start FR2+",
"Dah Sing Financial Centre","No. 248 Queen&amp;#39;s Road East, Wanchai, Hong Kong.","G/F, Customer Service Counter",22.274731782759,114.17346338584,Yes,"Trained Personnel Only","Staff only","Street level",,"Cardiac Science","G3 Elite ( Fully -auto)",
"The Jockey Club CPS Limited","Tai Kwun, 10 Hollywood Road, Central, Hong Kong.","Block 21 G/F, JC Cube, lift lobby",22.2813608,114.1539743,Yes,"Trained Personnel Only","Staff only","Street level",,"Cardiac Science","Powerheart G5 Fully Automatic AED",
"The Jockey Club CPS Limited","Tai Kwun, 10 Hollywood Road, Central, Hong Kong.","Block 20 G/F, JC Contemporary, Gallery Reception",22.2813608,114.1539743,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science","Powerheart G5 Fully Automatic AED",
"The Jockey Club CPS Limited","Tai Kwun, 10 Hollywood Road, Central, Hong Kong.","Block 3, G/F, Visitor Services",22.2813608,114.1539743,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science","Powerheart G5 Fully Automatic AED",
"The Jockey Club CPS Limited","Tai Kwun, 10 Hollywood Road, Central, Hong Kong.","Block 1 LG2.F, Outside Police Report Center",22.2813608,114.1539743,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science","Powerheart G5 Fully Automatic AED",
"The Jockey Club CPS Limited","Tai Kwun, 10 Hollywood Road, Central, Hong Kong.","Block 9 LG1/F, Lift lobby (facing Parade Ground)",22.2813608,114.1539743,Yes,"Trained Personnel Only","Staff only","Non-street level",,"Cardiac Science","Powerheart G5 Fully Automatic AED",
"The Hong Kong Jockey Club","G/F, Kin Lee Building, 130 Jaffe Road, Wan Chai, Hong Kong.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"Hong Kong Gold Coast (Shopping Mall)","1 Castle Peak Road, Castle Peak Bay","Customer Service Centre",22.372219896826,113.99247543262,Yes,"Staff only","Staff only","Non-street level",,"Cardiac Science","G3 Elite (Fully-auto)",
"The Hong Kong Jockey Club","Shop A-D, G/F, New Spring Garden Mansion, 59-65 Spring Garden Lane, Wan Chai, Hong Kong.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"The Hong Kong Jockey Club","Shops 5-6, G/F and Shop 6A, 1/F, Hoi Fung Centre, 2 Po Man Street, Shau Kei Wan, Hong Kong.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Non-street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"The Hong Kong Jockey Club","G-1/F, Malahon Apartments, 501-515, Jaffe Road, Causeway Bay, Hong Kong.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"The Hong Kong Jockey Club","Shop A3, G/F, Kwong Sang Hong Building, 298 Hennessy Road, Wan Chai, Hong Kong.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"Tsim Sha Tsui Centre","66 Mody Road, Tsim Sha Tsui, Kowloon, Hong Kong","Concierge Counter, UG/F",22.29781552350365,114.17793912188988,Yes,"Staff only","Staff only","Non-street level",,"Cardiac Science","Powerheart G3",
"The Hong Kong Girl Guides Association Tin Shui Wai Pansy Ho Activity Centre","2 Tin Fai Road, Tin Shui Wai, N.T.","Activity Room",22.4655858,113.9972908,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,"Mindray BeneHeart C1A (Fully-auto)","BeneHeart C1A (Fully-auto)",
"The Hong Kong Jockey Club","G/F, Wah Po Building, 334-338 Shaukeiwan Road, Shau Kei Wan Road","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"The Hong Kong Jockey Club","G/F, Wah Lai Mansion, 76 Marble Road, North Point, Hong Kong.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"The Hong Kong Jockey Club","Basement and G/F, Maxwell Centre, 39-41 Hankow Road, Tsim Sha Tsui, Kowloon.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"The Hong Kong Jockey Club","G/F-3/F Federal Centre, 77 Sheung On Street, Chai Wan, Hong Kong.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"Crawford House (Harriman Property Management Limited)","70 Queens Road, Central, Hong Kong.","B1/F, Crawford House,",22.282694788799,114.15569015952,Yes,Anyone,"Staff only","Non-street level",,Physio-control,"Lifepak 1000 (Semi-auto)",
"The Hong Kong Jockey Club","G-1/F, Wah Hoi Building, 276-280 Electric Road, North Point, Hong Kong.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"The Hong Kong Jockey Club","G-1/F, Lai Yuen Apartments, 78-82 Percival Street, Causeway Bay, Hong Kong.","Inside HKJC Off-Course Betting Branch",0,0,Yes,Anyone,Anyone,"Street level",,"Physio Control","Lifepak 1000","Off-course Betting Branch"
"Hong Kong Girl Guides Association Headquarter","No 8, Gascoigne Road, Kowloon","G/F, next to the elevator",22.3062812,114.1776266,Yes,"Trained Personnel Only","Accompanied By Staff only","Street level",,Mindray,"BeneHeart C1A Defibrillator",
